n_total,n_kept,retention,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,set_col,prob_threshold
2628129,491668,0.18707909695452543,0.9095812621525095,0.5090885349405931,0.3039337091145111,0.3281752592538196,0.8923691528976668,0.9095812621525095,0.8940265941652986,conformal_set_85_class_conditional_10class,none
2628129,491615,0.1870589305167288,0.9096386399926772,0.5091704298924166,0.3037955217359686,0.3280477635563479,0.892423965902041,0.9096386399926772,0.8940742859784907,conformal_set_85_class_conditional_10class,0.5
2628129,487241,0.18539462865026793,0.9130040370165893,0.5164298286340772,0.30255049778416065,0.32755359485403546,0.8957474990115628,0.9130040370165893,0.8968958254278754,conformal_set_85_class_conditional_10class,0.7
2628129,470904,0.1791784193241656,0.9210560963593429,0.5277672946563162,0.3002451121407367,0.32338250036052213,0.9044714838182328,0.9210560963593429,0.9039591382412715,conformal_set_85_class_conditional_10class,0.8
2628129,394189,0.14998845186062024,0.9412185525217599,0.5617477474144441,0.2943349357155828,0.3078783905389681,0.9282785177702645,0.9412185525217599,0.9249759301689965,conformal_set_85_class_conditional_10class,0.9
2628129,286062,0.10884625526372564,0.9620292104508813,0.5520669127694892,0.2913106198496864,0.30634268434372725,0.9547737250163432,0.9620292104508813,0.9503872956985202,conformal_set_85_class_conditional_10class,0.95
2628129,412990,0.15714221029485234,0.9338313276350517,0.5331623850340821,0.28506897968452294,0.3084549950176799,0.9190681016472458,0.9338313276350517,0.9186253557946575,conformal_set_90_class_conditional_10class,none
2628129,412990,0.15714221029485234,0.9338313276350517,0.5331623850340821,0.28506897968452294,0.3084549950176799,0.9190681016472458,0.9338313276350517,0.9186253557946575,conformal_set_90_class_conditional_10class,0.5
2628129,412939,0.15712280485470842,0.933876432112249,0.5333861774271815,0.2849601568583432,0.30832374513977,0.919110165655161,0.933876432112249,0.9186583051416354,conformal_set_90_class_conditional_10class,0.7
2628129,410725,0.1562803804531665,0.9351902124292409,0.5355214572433534,0.2849141922595247,0.3075571928046795,0.92058501875986,0.9351902124292409,0.9198341917402969,conformal_set_90_class_conditional_10class,0.8
2628129,375572,0.14290470521043677,0.9457946811796406,0.5569688400463025,0.2879701050860687,0.30449693239696024,0.9340166092034466,0.9457946811796406,0.9306667829347811,conformal_set_90_class_conditional_10class,0.9
2628129,285077,0.10847146391976954,0.9622242411699296,0.5528505898610094,0.2905072457063639,0.3058234987172272,0.955020255919904,0.9622242411699296,0.9506260286295745,conformal_set_90_class_conditional_10class,0.95
2628129,314417,0.11963529948491874,0.9562746289163754,0.4642709210568949,0.2661237559104238,0.2885349261384922,0.9433823539768061,0.9562746289163754,0.9433296171667246,conformal_set_95_class_conditional_10class,none
2628129,314417,0.11963529948491874,0.9562746289163754,0.4642709210568949,0.2661237559104238,0.2885349261384922,0.9433823539768061,0.9562746289163754,0.9433296171667246,conformal_set_95_class_conditional_10class,0.5
2628129,314417,0.11963529948491874,0.9562746289163754,0.4642709210568949,0.2661237559104238,0.2885349261384922,0.9433823539768061,0.9562746289163754,0.9433296171667246,conformal_set_95_class_conditional_10class,0.7
2628129,314417,0.11963529948491874,0.9562746289163754,0.4642709210568949,0.2661237559104238,0.2885349261384922,0.9433823539768061,0.9562746289163754,0.9433296171667246,conformal_set_95_class_conditional_10class,0.8
2628129,312709,0.1189854074895106,0.9571358675317947,0.47269441952030744,0.26782329870177995,0.2898352236921901,0.9456090053896389,0.9571358675317947,0.9443509337434058,conformal_set_95_class_conditional_10class,0.9
2628129,272918,0.10384497869016324,0.9644398683853759,0.5070860566395893,0.27891975236627353,0.29847831608627495,0.9576811233439214,0.9644398683853759,0.9533122788201253,conformal_set_95_class_conditional_10class,0.95
